nyt_name,category
Aurelia,gods
Calliope,gods
Freya,gods
Maryam,gods
Rhea,gods
Amos,gods
Apollo,gods
Cain,gods
Magnus,gods
Titan,gods
Arya,popculture
Cataleya,popculture
Collins,popculture
Ophelia,popculture
Scout,popculture
Anakin,popculture
Arlo,popculture
Boden,popculture
Creed,popculture
Kylo,popculture
Azariah,gender
Briar,gender
Emory,gender
Leighton,gender
Lennox,gender
Milan,gender
Nova,gender
Oakley,gender
Reign,gender
Remy,gender
Royal,gender
Sutton,gender
Dorothy,vintage
Eloise,vintage
Florence,vintage
Pearl,vintage
Thea,vintage
Clyde,vintage
Ira,vintage
Lionel,vintage
Otto,vintage
Wallace,vintage
